,Excretory_cells,Somatic_gonad_precursors,Body_wall_muscle,Am/PH_sheath_cells,Non-seam_hypodermis,Germline,Cholinergic_neurons,GABAergic_neurons,Pharyngeal_epithelia,Touch_receptor_neurons,Intestinal/rectal_muscle,Canal_associated_neurons,Intestine,Seam_cells,Rectum,Other_interneurons,Pharyngeal_neurons,Ciliated_sensory_neurons,Oxygen_sensory_neurons,Pharyngeal_gland,Pharyngeal_muscle,Coelomocytes
Excretory_cells,0.22916666666666666,0.23809523809523808,0.2698961937716263,0.21621621621621623,0.24124513618677043,0.152,0.2873900293255132,0.1941747572815534,0.2569444444444444,0.1863799283154122,0.23208191126279865,0.18620689655172415,0.203125,0.25287356321839083,0.26334519572953735,0.21794871794871795,0.28125,0.2625482625482625,0.2572347266881029,0.1652892561983471,0.24113475177304963,0.1896551724137931
Somatic_gonad_precursors,0.23809523809523808,0.3,0.23728813559322035,0.22641509433962265,0.19011406844106463,0.1640625,0.29971181556195964,0.2222222222222222,0.272108843537415,0.20350877192982456,0.2408026755852843,0.22972972972972974,0.2366412213740458,0.2247191011235955,0.20209059233449478,0.2578616352201258,0.3067484662576687,0.2339622641509434,0.2586750788643533,0.1774193548387097,0.2638888888888889,0.16806722689075632
Body_wall_muscle,0.2698961937716263,0.23728813559322035,0.2413793103448276,0.2,0.13953488372093023,0.13545816733067728,0.3567251461988304,0.23225806451612904,0.23529411764705882,0.21428571428571427,0.2653061224489796,0.2268041237113402,0.22568093385214008,0.15267175572519084,0.20567375886524822,0.28753993610223644,0.3177570093457944,0.23846153846153847,0.2692307692307692,0.1646090534979424,0.24028268551236748,0.1630901287553648
Am/PH_sheath_cells,0.21621621621621623,0.22641509433962265,0.2,0.22608695652173913,0.23684210526315788,0.14479638009049775,0.25,0.15714285714285714,0.2548262548262548,0.192,0.23484848484848486,0.19157088122605365,0.19383259911894274,0.2413793103448276,0.2619047619047619,0.19081272084805653,0.21993127147766323,0.22608695652173913,0.2127659574468085,0.16901408450704225,0.22134387351778656,0.15763546798029557
Non-seam_hypodermis,0.24124513618677043,0.19011406844106463,0.13953488372093023,0.23684210526315788,0.20353982300884957,0.1187214611872146,0.2129032258064516,0.1510791366906475,0.2490272373540856,0.13709677419354838,0.16030534351145037,0.13127413127413126,0.19555555555555557,0.24347826086956523,0.264,0.17793594306049823,0.2422145328719723,0.22807017543859648,0.19285714285714287,0.15165876777251186,0.22310756972111553,0.12935323383084577
Germline,0.152,0.1640625,0.13545816733067728,0.14479638009049775,0.1187214611872146,0.14150943396226415,0.1782178217821782,0.1033210332103321,0.168,0.11618257261410789,0.14901960784313725,0.12698412698412698,0.11926605504587157,0.14349775784753363,0.13168724279835392,0.12408759124087591,0.19858156028368795,0.19909502262443438,0.17582417582417584,0.09803921568627451,0.1557377049180328,0.1134020618556701
Cholinergic_neurons,0.2873900293255132,0.29971181556195964,0.3567251461988304,0.25,0.2129032258064516,0.1782178217821782,0.37055837563451777,0.2983425414364641,0.2873900293255132,0.27710843373493976,0.3179190751445087,0.25072886297376096,0.26537216828478966,0.22929936305732485,0.23353293413173654,0.3287671232876712,0.3753351206434316,0.28846153846153844,0.34065934065934067,0.21016949152542372,0.3044776119402985,0.21754385964912282
GABAergic_neurons,0.1941747572815534,0.2222222222222222,0.23225806451612904,0.15714285714285714,0.1510791366906475,0.1033210332103321,0.2983425414364641,0.24848484848484848,0.22653721682847897,0.19333333333333333,0.2484076433121019,0.19935691318327975,0.17328519855595667,0.1773049645390071,0.17880794701986755,0.25225225225225223,0.34017595307917886,0.25,0.28313253012048195,0.12927756653992395,0.23102310231023102,0.1422924901185771
Pharyngeal_epithelia,0.2569444444444444,0.272108843537415,0.23529411764705882,0.2548262548262548,0.2490272373540856,0.168,0.2873900293255132,0.22653721682847897,0.3125,0.22939068100358423,0.28668941979522183,0.2482758620689655,0.25,0.2222222222222222,0.2277580071174377,0.23717948717948717,0.2875,0.30115830115830117,0.2572347266881029,0.21487603305785125,0.2765957446808511,0.1896551724137931
Touch_receptor_neurons,0.1863799283154122,0.20350877192982456,0.21428571428571427,0.192,0.13709677419354838,0.11618257261410789,0.27710843373493976,0.19333333333333333,0.22939068100358423,0.22962962962962963,0.2535211267605634,0.19217081850533807,0.1700404858299595,0.15079365079365079,0.16911764705882354,0.2376237623762376,0.27009646302250806,0.24,0.2582781456953642,0.13733905579399142,0.23443223443223443,0.14349775784753363
Intestinal/rectal_muscle,0.23208191126279865,0.2408026755852843,0.2653061224489796,0.23484848484848486,0.16030534351145037,0.14901960784313725,0.3179190751445087,0.2484076433121019,0.28668941979522183,0.2535211267605634,0.2684563758389262,0.2305084745762712,0.25287356321839083,0.18045112781954886,0.2097902097902098,0.28391167192429023,0.30153846153846153,0.22727272727272727,0.2848101265822785,0.17813765182186234,0.2787456445993031,0.16877637130801687
Canal_associated_neurons,0.18620689655172415,0.22972972972972974,0.2268041237113402,0.19157088122605365,0.13127413127413126,0.12698412698412698,0.25072886297376096,0.19935691318327975,0.2482758620689655,0.19217081850533807,0.2305084745762712,0.14383561643835616,0.18604651162790697,0.1444866920152091,0.15547703180212014,0.24203821656050956,0.2919254658385093,0.2222222222222222,0.26198083067092653,0.16393442622950818,0.2323943661971831,0.17094017094017094
Intestine,0.203125,0.2366412213740458,0.22568093385214008,0.19383259911894274,0.19555555555555557,0.11926605504587157,0.26537216828478966,0.17328519855595667,0.25,0.1700404858299595,0.25287356321839083,0.18604651162790697,0.1875,0.18340611353711792,0.20080321285140562,0.21428571428571427,0.2569444444444444,0.23788546255506607,0.2222222222222222,0.18095238095238095,0.232,0.16
Seam_cells,0.25287356321839083,0.2247191011235955,0.15267175572519084,0.2413793103448276,0.24347826086956523,0.14349775784753363,0.22929936305732485,0.1773049645390071,0.2222222222222222,0.15079365079365079,0.18045112781954886,0.1444866920152091,0.18340611353711792,0.28205128205128205,0.25984251968503935,0.17543859649122806,0.23890784982935154,0.25,0.20422535211267606,0.15813953488372093,0.21176470588235294,0.14634146341463414
Rectum,0.26334519572953735,0.20209059233449478,0.20567375886524822,0.2619047619047619,0.264,0.13168724279835392,0.23353293413173654,0.17880794701986755,0.2277580071174377,0.16911764705882354,0.2097902097902098,0.15547703180212014,0.20080321285140562,0.25984251968503935,0.291970802919708,0.17049180327868851,0.23003194888178913,0.2222222222222222,0.2236842105263158,0.15319148936170213,0.2109090909090909,0.1688888888888889
Other_interneurons,0.21794871794871795,0.2578616352201258,0.28753993610223644,0.19081272084805653,0.17793594306049823,0.12408759124087591,0.3287671232876712,0.25225225225225223,0.23717948717948717,0.2376237623762376,0.28391167192429023,0.24203821656050956,0.21428571428571427,0.17543859649122806,0.17049180327868851,0.25595238095238093,0.3313953488372093,0.26855123674911663,0.31044776119402984,0.16541353383458646,0.2549019607843137,0.1875
Pharyngeal_neurons,0.28125,0.3067484662576687,0.3177570093457944,0.21993127147766323,0.2422145328719723,0.19858156028368795,0.3753351206434316,0.34017595307917886,0.2875,0.27009646302250806,0.30153846153846153,0.2919254658385093,0.2569444444444444,0.23890784982935154,0.23003194888178913,0.3313953488372093,0.39204545454545453,0.32989690721649484,0.33819241982507287,0.21897810218978103,0.28662420382165604,0.2196969696969697
Ciliated_sensory_neurons,0.2625482625482625,0.2339622641509434,0.23846153846153847,0.22608695652173913,0.22807017543859648,0.19909502262443438,0.28846153846153844,0.25,0.30115830115830117,0.24,0.22727272727272727,0.2222222222222222,0.23788546255506607,0.25,0.2222222222222222,0.26855123674911663,0.32989690721649484,0.3217391304347826,0.28368794326241137,0.20657276995305165,0.2766798418972332,0.22660098522167488
Oxygen_sensory_neurons,0.2572347266881029,0.2586750788643533,0.2692307692307692,0.2127659574468085,0.19285714285714287,0.17582417582417584,0.34065934065934067,0.28313253012048195,0.2572347266881029,0.2582781456953642,0.2848101265822785,0.26198083067092653,0.2222222222222222,0.20422535211267606,0.2236842105263158,0.31044776119402984,0.33819241982507287,0.28368794326241137,0.31736526946107785,0.18867924528301888,0.24918032786885247,0.17254901960784313
Pharyngeal_gland,0.1652892561983471,0.1774193548387097,0.1646090534979424,0.16901408450704225,0.15165876777251186,0.09803921568627451,0.21016949152542372,0.12927756653992395,0.21487603305785125,0.13733905579399142,0.17813765182186234,0.16393442622950818,0.18095238095238095,0.15813953488372093,0.15319148936170213,0.16541353383458646,0.21897810218978103,0.20657276995305165,0.18867924528301888,0.1326530612244898,0.17796610169491525,0.13978494623655913
Pharyngeal_muscle,0.24113475177304963,0.2638888888888889,0.24028268551236748,0.22134387351778656,0.22310756972111553,0.1557377049180328,0.3044776119402985,0.23102310231023102,0.2765957446808511,0.23443223443223443,0.2787456445993031,0.2323943661971831,0.232,0.21176470588235294,0.2109090909090909,0.2549019607843137,0.28662420382165604,0.2766798418972332,0.24918032786885247,0.17796610169491525,0.2246376811594203,0.168141592920354
Coelomocytes,0.1896551724137931,0.16806722689075632,0.1630901287553648,0.15763546798029557,0.12935323383084577,0.1134020618556701,0.21754385964912282,0.1422924901185771,0.1896551724137931,0.14349775784753363,0.16877637130801687,0.17094017094017094,0.16,0.14634146341463414,0.1688888888888889,0.1875,0.2196969696969697,0.22660098522167488,0.17254901960784313,0.13978494623655913,0.168141592920354,0.125
